"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"PEYTONMANNING","Peyton Manning","QB","DEN",1,355.516994250951,343.64,359.76,360.28,375,361.5,362.408,347.92,368.98,342.1,348.2,345.52,370.2,287.76,349.98,NA,353.12,636.499970073758,426.25,205.810299976077,23.9999283127276,349.025333333333,355.516994250951,22.2,20.4382733330899,8.7,4.75359875004377
"DREWBREES","Drew Brees","QB","NO",2,331.88891793308,333.92,336.6,340.42,333.6,340.08,336.11,327.92,337.42,321.92,315.5,315.8,341.5,326.8,340.22,NA,329.98,638.4,421.601508134058,213.85,24,332.030458333333,331.88891793308,27.2,8.66608204987918,7.5,3.44132159771079
"AARONRODGERS","Aaron Rodgers","QB","GB",3,329.89539521565,306.04,345.46,351.26,351.62,343.42,345.58,308.74,339.2,326.84,331.8,319.96,346.9,301,340.08,NA,316.48,549.025,361.8,184.500033733592,48.5000099386076,330.424583333333,329.89539521565,26.2,17.2737909920809,7.3,4.29386601861602
"ANDREWLUCK","Andrew Luck","QB","IND",4,302.099204952864,365.3,314.58,292.36,289.34,300.46,296.37,308,294.1,308.96,311.8,308.5,310,270.2,317,NA,285.48,594.229526387796,364.000025989072,230.335878359595,61.0000461575133,303.012208333333,302.099204952864,56.8,21.0281759958938,10.2,4.96232356949449
"ROBERTGRIFFIN","Robert Griffin III","QB","WAS",5,292.586525046648,309.2,310.32,289.8,293.86,304.2,294.984,274.96,282.88,288.52,301.3,280.68,295,270.24,309.2,NA,287.68,509.425,312.55,195.402258213207,94.9999592320373,290.56375,292.586525046648,69.7,12.4894852659957,13,4.37493239715741
"MATTHEWSTAFFORD","Matthew Stafford","QB","DET",6,292.550912078532,224.08,323.82,323.28,291.24,308.3,304.99,298.96,273.06,291.88,292.8,293.48,290.4,272.04,299.58,NA,291.92,639.199996398589,387.15,253.999969963407,31.7500485522183,290.083291666667,292.550912078532,50.6,23.7659981806742,9.8,5.20008884634476
"NICKFOLES","Nick Foles","QB","PHI",7,291.596267003365,276.44,285.3,312.7,286.06,306.64,298.804,303.3,310.3,298.14,291.8,292.46,294,278.02,299.94,NA,294.54,523.989,332.684936659738,186.281272629141,63.0000056272531,291.738916666667,291.596267003365,69,10.7716999374684,13.9,4.29019501152014
"CAMNEWTON","Cam Newton","QB","CAR",8,290.638189760018,269.02,298.94,286.1,296.3,296.62,294.972,300.36,305.2,301.62,287.4,290.56,301.9,275.06,308.14,NA,271.24,484.260646156682,293.999988706556,189.000060532256,111.000000580112,290.777166666667,290.638189760018,68.9,12.2337190420575,21,5.14334295360227
"COLINKAEPERNICK","Colin Kaepernick","QB","SF",9,287.949350910503,315.8,313.14,335.14,272.52,304.24,308.032,300.4,285.22,294.88,293.4,279.98,288.9,256.12,298.54,NA,268.74,469.00006330452,278.999960862171,184.141862031941,88.5000103163709,291.462416666667,287.949350910503,83.6,20.2323106342306,17.1,5.56677360010232
"MATTRYAN","Matt Ryan","QB","ATL",10,282.019414535658,254.86,304.98,288.64,267.68,292.48,287.702,264.76,282.4,281.32,270.4,274.54,270.5,304.48,287.48,NA,288.92,633.047286344224,416.210143734332,216.25,23.5000166088491,280.299958333333,282.019414535658,65.5,14.2790882555408,14.1,4.66553179897382
"TONYROMO","Tony Romo","QB","DAL",11,278.391610700822,291.2,295.94,280.28,271.06,NA,277.31,260.54,264.16,267.4,264,266.28,295.9,287.56,287.68,NA,283.18,596.249976515185,380.625,216.75,22.9999628159218,277.091619047619,278.391610700822,78.4,12.4787775227199,17.5,4.82065935492084
"TOMBRADY","Tom Brady","QB","NE",12,277.910200967913,216.04,291.42,303.28,265.58,NA,282.694,287.5,267.84,274.22,290.2,277.84,294.1,271.94,292.68,NA,292,629.349996428457,389.75,236.5,28.5000443244026,278.183623809524,277.910200967913,69.4,21.2707399691493,10.2,4.98690775055277
"RUSSELLWILSON","Russell Wilson","QB","SEA",13,274.766025360461,338.58,281.74,267,278.26,NA,273.102,286.88,278.14,283.64,289.6,263.46,297,244.84,290.58,NA,257.24,435.000002586906,276.825,157.000070159948,87.0000027770554,277.485538095238,274.766025360461,95.2,21.8948134020842,21.5,6.17215350683515
"PHILIPRIVERS","Philip Rivers","QB","SD",14,267.969817594621,275.58,265.18,275.44,268.18,NA,265.914,246.6,263.26,261,258,265.92,274.9,281.82,272.02,NA,259.15,556,365,187.499950652283,27.4999788588307,265.541766666667,267.969817594621,99.8,9.0558182523602,24.6,5.17870824653909
"JAMAALCHARLES","Jamaal Charles","RB","KC",15,263.757487606743,296.54,293.2,252.9,250.7,261.4,266.03,270.6,268.3,259.3,260,266.7,301,236.3,243.8,NA,249.5,0,0,0,255.25,263.158625,263.757487606743,1.8,19.0241105918128,0.9,3.83579699370855
"JAYCUTLER","Jay Cutler","QB","CHI",16,261.965412519703,269.56,292.98,274.68,251.72,NA,269.974,270.84,258.66,260.88,264,257.98,265.5,254.74,275.54,NA,257.78,547.500028567749,341.058470836717,209.5,32.000015293274,261.259076190476,261.965412519703,81.7,10.7168142275031,18.1,4.7016569935285
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",17,255.885931526744,220,280.84,274.74,243.76,NA,264.562,262.84,259.68,251.12,259.2,248.7,263,267.94,267.96,NA,236.74,565.75,356.325,207.6,28.0000076763538,255.554609523809,255.885931526744,107.2,15.9800870405695,19.1,5.33438828844542
"LESEANMCCOY","LeSean McCoy","RB","PHI",18,253.111704227132,301.86,280.2,238.8,246.4,257.4,255.18,270,259,241.9,242,245,244.5,266.8,251.6,NA,230.1,0,0,0,293.361082175926,255.0775,253.111704227132,1.8,18.3878171883555,0.9,3.77130781163076
"ALEXSMITH","Alex Smith","QB","KC",19,249.139475438572,269.4,256.96,246.66,219.58,NA,246.214,260.04,268.06,244.98,251.8,248.96,256.6,231.12,271.74,NA,262.72,534.999944889052,322.025,209.3,64.9999639054674,248.859242857143,249.139475438572,148.4,14.6232770917158,19.1,5.1968737969213
"ANDYDALTON","Andy Dalton","QB","CIN",20,247.980631462896,261.06,263.26,255.22,246.18,NA,251.3,251.16,244.6,252.56,259.8,254.44,251,260,266.2,NA,244.6,537,331.606859565879,206.05,51.0000358376668,251.79330952381,247.980631462896,126.4,6.89474349864359,20.7,4.57244320663141
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",21,240.084369691903,219.16,253.98,266.76,231.78,NA,246.758,224.64,234.9,236.6,256.4,241,245,248.1,265.82,NA,249.94,560.850025789679,339.25,222.000031968307,42.2500314377695,242.069723809524,240.084369691903,136.3,14.1264952630715,21.1,5.34510749915138
"MATTFORTE","Matt Forte","RB","CHI",22,238.696785731616,253.02,258.8,238.4,240.3,243.4,241.72,232.6,230.5,223.3,237,228.2,237.5,273.2,238.7,NA,225.3,0,0,0,275.260080645161,239.418166666667,238.696785731616,4,13.1970989597101,1.5,3.30479658090148
"ADRIANPETERSON","Adrian Peterson","RB","MIN",23,237.825234634423,223.72,246.6,218.6,255.4,239.7,235.88,244,236.2,236,245,230.2,241,242.9,252,NA,229.8,0,0,0,299.999983685518,238.347111111111,237.825234634423,3.1,10.0372382845558,1.1,2.94482386184479
